Actor/Actress	Movie	Year
Kevin Bacon	Turn It Up!	2014
Kevin Bacon	Queens Logic	1991
Kevin Bacon	Songs to Keep: Treasures of an Adirondack Folk Collector	2013
Kevin Bacon	X-Men: First Class	2011
Kevin Bacon	He Said, She Said	1991
Kevin Bacon	Lemon Sky	1988
Kevin Bacon	End of the Line	1987
Kevin Bacon	Elephant White	2011
Kevin Bacon	The Woodsman	2004
Kevin Bacon	Where the Truth Lies	2005
Kevin Bacon	Balto	1995
Kevin Bacon	Digging to China	1997
Kevin Bacon	Murder in the First	1995
Kevin Bacon	Trapped	2002
Kevin Bacon	New York Skyride	1994
Kevin Bacon	Sleepers	1996
Kevin Bacon	Loverboy	2005
Kevin Bacon	Original Motion Picture Soundtrack	2017
Kevin Bacon	The Air I Breathe	2007
Kevin Bacon	My One and Only	2009